nome_popular;nome_cientifico;nome_ingles;
abana-rabo-da-serra;Parkesia motacilla;Louisiana Waterthrush;
abana-rabo-de-baixada;Parkesia noveboracensis;Northern Waterthrush;
abre-asa;Mionectes oleagineus;Ochre-bellied Flycatcher;
abre-asa-da-mata;Mionectes macconnelli;McConnell's Flycatcher;
abre-asa-de-cabeça-cinza;Mionectes rufiventris;Gray-hooded Flycatcher;
abre-asa-do-acre;Mionectes amazonus;Western McConnell's Flycatcher;
abre-asa-do-tepui;Mionectes roraimae;Sierra de Lema Flycatcher;
acauã;Herpetotheres cachinnans;Laughing Falcon;
acrobata;Acrobatornis fonsecai;Pink-legged Graveteiro;
acurana;Hydropsalis climacocerca;Ladder-tailed Nightjar;
agachadeira-mirim;Thinocorus rumicivorus;Least Seedsnipe;
águia-cinzenta;Urubitinga coronata;Crowned Eagle;
águia-pescadora;Pandion haliaetus;Osprey;
águia-serrana;Geranoaetus melanoleucus;Black-chested Buzzard-Eagle;
águia-solitária;Urubitinga solitaria;Solitary Eagle;
agulha-de-garganta-branca;Brachygalba albogularis;White-throated Jacamar;
albatroz-de-cabeça-cinza;Thalassarche chrysostoma;Gray-headed Albatross;
albatroz-de-coroa-branca;Thalassarche cauta;White-capped Albatross;
albatroz-de-nariz-amarelo;Thalassarche chlororhynchos;Yellow-nosed Albatross;
albatroz-de-sobrancelha;Thalassarche melanophris;Black-browed Albatross;
albatroz-de-tristão;Diomedea dabbenena;Tristan Albatross;
albatroz-errante;Diomedea exulans;Wandering Albatross;
albatroz-real;Diomedea epomophora;Royal Albatross;
albatroz-real-do-norte;Diomedea sanfordi;Northern Royal Albatross;
alegrinho;Serpophaga subcristata;White-crested Tyrannulet;
alegrinho-balança-rabo;Stigmatura budytoides;Greater Wagtail-Tyrant;
alegrinho-de-garganta-branca;Mecocerculus leucophrys;White-throated Tyrannulet;
alegrinho-do-chaco;Inezia inornata;Plain Tyrannulet;
alegrinho-do-rio;Serpophaga hypoleuca;River Tyrannulet;
alegrinho-trinador;Serpophaga griseicapilla;Straneck's Tyrannulet;
alma-de-gato;Piaya cayana;Squirrel Cuckoo;
alma-de-mestre;Oceanites oceanicus;Wilson's Storm-Petrel;
alma-negra;Bulweria bulwerii;Bulwer's Petrel;
amarelinho;Inezia subflava;Amazonian Tyrannulet;
amarelinho-da-amazônia;Inezia caudata;Pale-tipped Tyrannulet;
amarelinho-do-junco;Pseudocolopteryx flaviventris;Warbling Doradito;
anacã;Deroptyus accipitrinus;Red-fan Parrot;
anambé-azul;Cotinga cayana;Spangled Cotinga;
anambé-branco-de-bochecha-parda;Tityra inquisitor;Black-crowned Tityra;
anambé-branco-de-máscara-negra;Tityra semifasciata;Masked Tityra;
anambé-branco-de-rabo-preto;Tityra cayana;Black-tailed Tityra;
anambé-de-asa-branca;Xipholena atropurpurea;White-winged Cotinga;
anambé-de-cara-preta;Conioptilon mcilhennyi;Black-faced Cotinga;
anambé-de-coroa;Iodopleura isabellae;White-browed Purpletuft;
anambé-de-garganta-encarnada;Porphyrolaema porphyrolaema;Purple-throated Cotinga;
anambé-de-peito-roxo;Cotinga cotinga;Purple-breasted Cotinga;
anambé-de-rabo-branco;Xipholena lamellipennis;White-tailed Cotinga;
anambé-dos-tepuis;Pipreola whitelyi;Red-banded Fruiteater;
anambé-fusco;Iodopleura fusca;Dusky Purpletuft;
anambé-militar;Haematoderus militaris;Crimson Fruitcrow;
anambé-pombo;Gymnoderus foetidus;Bare-necked Fruitcrow;
anambé-preto;Cephalopterus ornatus;Amazonian Umbrellabird;
anambé-roxo;Xipholena punicea;Pompadour Cotinga;
anambé-turquesa;Cotinga maynana;Plum-throated Cotinga;
anambé-una;Querula purpurata;Purple-throated Fruitcrow;
anambezinho;Iodopleura pipra;Buff-throated Purpletuft;
andarilho;Geositta poeciloptera;Campo Miner;
andorinha-azul;Progne subis;Purple Martin;
andorinha-chilena;Tachycineta leucopyga;Chilean Swallow;
andorinha-cubana;Progne cryptoleuca;Cuban Martin;
andorinha-de-bando;Hirundo rustica;Barn Swallow;
andorinha-de-coleira;Pygochelidon melanoleuca;Black-collared Swallow;
andorinha-de-dorso-acanelado;Petrochelidon pyrrhonota;Cliff Swallow;
andorinha-de-sobre-branco;Tachycineta leucorrhoa;White-rumped Swallow;
andorinha-do-barranco;Riparia riparia;Bank Swallow;
andorinha-do-campo;Progne tapera;Brown-chested Martin;
andorinha-do-caribe;Progne dominicensis;Caribbean Martin;
andorinha-do-rio;Tachycineta albiventer;White-winged Swallow;
andorinha-do-sul;Progne elegans;Southern Martin;
andorinha-grande;Progne chalybea;Gray-breasted Martin;
andorinha-morena;Alopochelidon fucata;Tawny-headed Swallow;
andorinha-pequena-de-casa;Pygochelidon cyanoleuca;Blue-and-white Swallow;
andorinha-serradora;Stelgidopteryx ruficollis;Southern Rough-winged Swallow;
andorinhão-de-chapman;Chaetura chapmani;Chapman's Swift;
andorinhão-de-rabo-curto;Chaetura brachyura;Short-tailed Swift;
andorinhão-de-sobre-branco;Chaetura spinicaudus;Band-rumped Swift;
andorinhão-de-sobre-cinzento;Chaetura cinereiventris;Gray-rumped Swift;
andorinhão-do-buriti;Tachornis squamata;Fork-tailed Palm-Swift;
andorinhão-do-temporal;Chaetura meridionalis;Sick's Swift;
andorinhão-estofador;Panyptila cayennensis;Lesser Swallow-tailed Swift;
andorinhão-peregrino;Chaetura pelagica;Chimney Swift;
andorinhão-serrano;Aeronautes montivagus;White-tipped Swift;
anhuma;Anhima cornuta;Horned Screamer;
anu-branco;Guira guira;Guira Cuckoo;
anu-coroca;Crotophaga major;Greater Ani;
anu-preto;Crotophaga ani;Smooth-billed Ani;
anumará;Anumara forbesi;Forbes's Blackbird;
apuim-de-asa-vermelha;Touit huetii;Scarlet-shouldered Parrotlet;
apuim-de-cauda-amarela;Touit surdus;Golden-tailed Parrotlet;
apuim-de-costas-azuis;Touit purpuratus;Sapphire-rumped Parrotlet;
apuim-de-costas-pretas;Touit melanonotus;Brown-backed Parrotlet;
araçari-banana;Pteroglossus bailloni;Saffron Toucanet;
araçari-castanho;Pteroglossus castanotis;Chestnut-eared Aracari;
araçari-de-bico-amarelo;Pteroglossus flavirostris;Yellow-billed Aracari;
araçari-de-bico-branco;Pteroglossus aracari;Black-necked Aracari;
araçari-de-bico-de-marfim;Pteroglossus azara;Ivory-billed Aracari;
araçari-de-bico-marrom;Pteroglossus mariae;Brown-mandibled Aracari;
araçari-de-bico-riscado;Pteroglossus inscriptus;Lettered Aracari;
araçari-de-cinta-dupla;Pteroglossus pluricinctus;Many-banded Aracari;
araçari-de-pescoço-vermelho;Pteroglossus bitorquatus;Red-necked Aracari;
araçari-miudinho;Pteroglossus viridis;Green Aracari;
araçari-mulato;Pteroglossus beauharnaisii;Curl-crested Aracari;
araçari-negro;Selenidera piperivora;Guianan Toucanet;
araçari-poca;Selenidera maculirostris;Spot-billed Toucanet;
aracuã-de-barriga-branca;Ortalis araucuan;East Brazilian Chachalaca;
aracuã-de-sobrancelhas;Ortalis superciliaris;Buff-browed Chachalaca;
aracuã-do-pantanal;Ortalis canicollis;Chaco Chachalaca;
aracuã-escamoso;Ortalis squamata;Scaled Chachalaca;
aracuã-guarda-faca;Ortalis remota;Pinto's Chachalaca;
